Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,100.209999,100.449997,98.550003,99.919998,93.531097,9583200
2016-01-12,100.970001,101.849998,100.339996,101.459999,94.972633,8863900
2016-01-13,101.879997,101.879997,98.120003,98.480003,92.183189,11615400
2016-01-14,98.650002,99.910004,97.190002,99.110001,92.772896,11147500
2016-01-15,95.620003,96.879997,93.459999,93.900002,87.896019,22337000
2016-01-19,95.000000,95.070000,93.029999,93.970001,87.961540,13286800
2016-01-20,92.180000,93.639999,90.419998,92.540001,86.622971,16918100
2016-01-21,92.870003,94.860001,92.300003,94.019997,88.008354,12078200
2016-01-22,95.949997,97.419998,95.550003,96.900002,90.704216,12303800
2016-01-25,96.419998,96.680000,95.120003,95.290001,89.197151,7812200
2016-01-26,95.489998,96.430000,95.089996,96.269997,90.114479,6915600
2016-01-27,96.309998,96.629997,93.870003,94.320000,88.289154,6328900
2016-01-28,95.199997,95.199997,92.370003,93.529999,87.549683,7312700
2016-01-29,94.209999,95.820000,93.629997,95.820000,89.693268,8211600
2016-02-01,95.080002,95.709999,94.699997,95.150002,89.066101,7027200
2016-02-02,94.000000,94.169998,92.870003,93.120003,87.165909,7244400
2016-02-03,94.099998,95.410004,92.419998,95.139999,89.056740,10878000
2016-02-04,94.870003,96.730003,94.599998,95.430000,89.328201,8350300
2016-02-05,95.320000,95.389999,93.470001,93.900002,87.896019,8898500
2016-02-08,92.559998,92.959999,89.510002,92.120003,86.229843,13750100
2016-02-09,90.150002,93.199997,89.040001,92.320000,86.417053,19237400
2016-02-10,88.000000,90.029999,86.250000,88.849998,83.168922,32649800
2016-02-11,87.000000,91.059998,86.959999,90.309998,84.535568,17523800
2016-02-12,91.519997,91.589996,89.610001,91.150002,85.321861,10786100
2016-02-16,92.470001,93.309998,91.790001,92.910004,86.969322,9050900
2016-02-17,93.669998,96.440002,93.559998,95.500000,89.393723,12610000
2016-02-18,96.339996,96.449997,94.449997,95.169998,89.084824,8773900
2016-02-19,95.230003,95.720001,94.559998,95.010002,88.935059,6838200
2016-02-22,95.010002,97.000000,95.010002,96.370003,90.208092,6980400
2016-02-23,96.500000,96.820000,95.150002,95.379997,89.281387,6253800
2016-02-24,94.650002,95.750000,93.230003,95.430000,89.328201,6945600
2016-02-25,95.919998,95.949997,94.349998,95.650002,89.534134,4562300
2016-02-26,95.709999,96.220001,95.279999,95.309998,89.215866,5277000
2016-02-29,95.309998,96.290001,95.230003,95.519997,89.412437,7794400
2016-03-01,95.900002,97.660004,95.529999,97.650002,91.406242,7139900
2016-03-02,97.669998,97.830002,96.410004,97.000000,90.797813,6498600
2016-03-03,97.790001,98.839996,96.889999,98.820000,92.501434,8581300
2016-03-04,99.000000,99.209999,97.900002,98.480003,92.183189,6739800
2016-03-07,98.570000,99.709999,98.480003,99.389999,93.034996,7218700
2016-03-08,98.930000,98.980003,97.599998,97.820000,91.565369,6229300
2016-03-09,98.000000,98.239998,96.809998,97.660004,91.415619,7010700
2016-03-10,97.940002,98.419998,95.870003,97.040001,90.835251,5453500
2016-03-11,97.570000,98.349998,97.540001,97.940002,91.677704,5605800
2016-03-14,97.940002,99.220001,97.839996,98.809998,92.492073,6175000
2016-03-15,98.019997,98.330002,97.389999,98.239998,91.958519,5942400
2016-03-16,98.160004,99.080002,97.470001,98.440002,92.145729,6079400
2016-03-17,98.279999,99.910004,98.279999,99.599998,93.231575,6385600
2016-03-18,99.980003,100.150002,98.959999,99.199997,92.857140,10205100
2016-03-21,98.919998,99.120003,97.699997,98.459999,92.164444,7070300
2016-03-22,97.589996,98.320000,97.440002,97.580002,91.340721,6475700
2016-03-23,97.720001,97.849998,96.750000,96.830002,90.638672,5517700
2016-03-24,96.550003,97.489998,96.300003,97.220001,91.003746,5577700
2016-03-28,97.500000,98.459999,97.449997,98.089996,91.818115,5317100
2016-03-29,98.000000,98.370003,97.360001,98.160004,91.883652,5170800
2016-03-30,98.900002,99.089996,98.349998,98.910004,92.585693,5677500
2016-03-31,99.010002,100.370003,99.010002,99.309998,92.960114,7038800
2016-04-01,98.800003,99.339996,98.580002,99.070000,92.735458,5895500
2016-04-04,99.300003,99.440002,98.580002,98.680000,92.370399,5334700
2016-04-05,96.849998,97.610001,96.150002,97.000000,90.797813,10818800
2016-04-06,96.959999,97.629997,96.830002,97.480003,91.247124,6952400
2016-04-07,97.110001,97.419998,95.919998,96.160004,90.011528,7525400
